Baader SLOAN/SDSS r' Filter,
Î» (nm),OD
200,7.404829948
201,6.487751797
202,6.695987374
203,7.385212657
204,7.253948757
205,7.143584362
206,6.735293259
207,6.944553319
208,6.797151173
209,7.076483743
210,6.867747845
211,7.202849989
212,6.919806970
213,7.006161490
214,6.950086375
215,6.819588336
216,6.937823771
217,7.101651772
218,6.793304495
219,7.013749629
220,7.234964484
221,6.895943519
222,6.952961717
223,6.993506486
224,7.009439787
225,6.943001524
226,6.986196389
227,6.937673117
228,7.035574262
229,7.124405156
230,6.837262205
231,6.933515886
232,6.949678127
233,7.054954803
234,6.914971177
235,7.134106375
236,7.035253280
237,6.855648408
238,6.903677095
239,7.026127530
240,7.037190999
241,6.995930179
242,6.940552731
243,7.073450381
244,6.975485587
245,7.025657044
246,7.000277144
247,6.953369057
248,7.009998378
249,7.190752040
250,7.058660273
251,6.967846107
252,6.937626206
253,7.127089643
254,6.897318147
255,7.002483836
256,6.921268666
257,7.187517399
258,6.982351557
259,6.927545176
260,6.996768497
261,7.022745706
262,7.000779786
263,6.960268142
264,7.185401316
265,7.016030089
266,7.077238882
267,7.143069163
268,7.024191084
269,7.009956668
270,6.928223555
271,7.149805503
272,7.457345117
273,6.907825055
274,7.089829761
275,7.070309353
276,7.020932872
277,7.191927250
278,7.129756903
279,7.085935082
280,6.923701531
281,7.052952166
282,7.446911138
283,7.278992041
284,7.137326021
285,7.150426652
286,7.077553215
287,7.194233196
288,7.083691141
289,7.114954078
290,7.513539513
291,7.276437195
292,7.155942386
293,7.370612333
294,6.985817213
295,7.026959780
296,7.468254377
297,7.056474538
298,7.328378209
299,7.009734847
300,7.102533127
301,7.110945662
302,7.656641457
303,6.862186872
304,7.224609110
305,6.965044659
306,7.401425016
307,7.470297779
308,6.937758089
309,7.115461644
310,7.230454223
311,7.069683790
312,7.420608730
313,7.039467887
314,7.415442452
315,7.516651533
316,7.093756399
317,6.870617702
318,6.934949384
319,7.763232181
320,6.664392681
321,7.025915283
322,8.278543859
323,7.025773088
324,7.819154039
325,6.946029149
326,7.411140801
327,6.943603268
328,7.466703013
329,7.455197441
330,7.748396634
331,8.238356218
332,6.985417094
333,8.047395181
334,6.801504781
335,7.316183011
336,7.042854379
337,7.332576317
338,7.200780582
339,7.598872911
340,6.446338712
341,6.426971306
342,6.443669704
343,6.490776709
344,6.490994718
345,6.483014020
346,6.529880613
347,6.569651576
348,6.578073125
349,6.532836666
350,6.535587300
351,6.558313471
352,6.555137428
353,6.580592623
354,6.663480354
355,6.602667825
356,6.569328045
357,6.662289107
358,6.623361023
359,6.691492298
360,6.689615155
361,6.673230064
362,6.574341426
363,6.680171352
364,6.662782010
365,6.696683296
366,6.728357020
367,6.682549441
368,6.699127763
369,6.786405405
370,6.732891498
371,6.771617774
372,6.749202193
373,6.697961439
374,6.676119971
375,6.681299603
376,6.694452527
377,6.725981440
378,6.721842303
379,6.792098958
380,6.777743193
381,6.770554850
382,6.732877789
383,6.663814630
384,6.728071788
385,6.776467785
386,6.771174764
387,6.723466012
388,6.710233066
389,6.736960685
390,6.748537038
391,6.778882938
392,6.776372326
393,6.726546781
394,6.876334657
395,6.754640477
396,6.788354851
397,6.832811470
398,6.797393930
399,6.739138001
400,6.696763025
401,6.422291236
402,5.756521537
403,5.373543033
404,5.341309649
405,5.681696553
406,6.377501727
407,6.567190791
408,6.562727183
409,6.498181611
410,6.350570909
411,6.196310546
412,5.960343008
413,5.665829211
414,5.293101646
415,5.073897371
416,5.091517573
417,5.301205044
418,5.575078280
419,5.644558052
420,5.532817639
421,5.334266783
422,5.193746496
423,5.189373425
424,5.300605895
425,5.438987303
426,5.516199079
427,5.443543316
428,5.306441358
429,5.164960992
430,5.040470436
431,4.883859263
432,4.649474889
433,4.488633070
434,4.535682903
435,4.818451567
436,5.262843776
437,5.621441170
438,5.839546419
439,5.954520900
440,5.958388069
441,5.895110706
442,5.813487862
443,5.727227174
444,5.691687474
445,5.703773026
446,5.748735698
447,5.801094444
448,5.820784179
449,5.825935319
450,5.793530015
451,5.720527054
452,5.566180587
453,5.357878098
454,5.096240324
455,4.827273024
456,4.575136839
457,4.394496885
458,4.307922514
459,4.320275954
460,4.394803918
461,4.479406140
462,4.531337287
463,4.545066549
464,4.542546287
465,4.571911064
466,4.659609974
467,4.819958018
468,5.011888581
469,5.200017134
470,5.350991466
471,5.457432320
472,5.535109144
473,5.576289935
474,5.582370550
475,5.560957014
476,5.514146618
477,5.447872530
478,5.359695139
479,5.258661619
480,5.151513578
481,5.055083887
482,4.968096612
483,4.896730056
484,4.834250600
485,4.775458023
486,4.706622663
487,4.622551132
488,4.543500395
489,4.491663388
490,4.487252302
491,4.531466257
492,4.600791985
493,4.681502224
494,4.748071703
495,4.795593456
496,4.819178750
497,4.818594982
498,4.802399965
499,4.772441196
500,4.736638080
501,4.699115060
502,4.668207791
503,4.640944000
504,4.605391652
505,4.568553541
506,4.522917538
507,4.469959736
508,4.424172041
509,4.389218181
510,4.371228826
511,4.365646881
512,4.365986968
513,4.375313056
514,4.388678286
515,4.399957046
516,4.406422025
517,4.409427579
518,4.406268004
519,4.401529522
520,4.400821809
521,4.403138770
522,4.412679502
523,4.426642623
524,4.443092686
525,4.458130350
526,4.466577946
527,4.468220388
528,4.465281828
529,4.449889981
530,4.427878330
531,4.397011614
532,4.356085880
533,4.306870635
534,4.247622433
535,4.178525291
536,4.100280936
537,4.012431681
538,3.913958233
539,3.806732758
540,3.687754611
541,3.558142280
542,3.419294060
543,3.268891642
544,3.108434631
545,2.936768819
546,2.752500359
547,2.558650856
548,2.352433471
549,2.135407029
550,1.909645666
551,1.672856636
552,1.432523543
553,1.192249868
554,0.961003555
555,0.753370580
556,0.577741861
557,0.440257625
558,0.341716662
559,0.273438530
560,0.227149696
561,0.193705729
562,0.168580272
563,0.148110091
564,0.132224991
565,0.119587384
566,0.111059759
567,0.104831100
568,0.100744220
569,0.097406230
570,0.094153907
571,0.089696666
572,0.083817112
573,0.076590366
574,0.069085992
575,0.060168562
576,0.051846722
577,0.044499191
578,0.038103665
579,0.033306873
580,0.029395074
581,0.026123469
582,0.023489887
583,0.020975480
584,0.017957383
585,0.015301110
586,0.012572093
587,0.010118914
588,0.008320901
589,0.006846224
590,0.005999814
591,0.005322531
592,0.005538532
593,0.005379087
594,0.005815115
595,0.005672488
596,0.005686587
597,0.005407167
598,0.005616094
599,0.005709987
600,0.006069160
601,0.007102826
602,0.007865650
603,0.008439467
604,0.009104613
605,0.009455397
606,0.009447168
607,0.008760772
608,0.008267370
609,0.007394327
610,0.006098696
611,0.005266619
612,0.004857812
613,0.004417421
614,0.004274617
615,0.004174109
616,0.004586626
617,0.004775058
618,0.004566300
619,0.004581101
620,0.004305135
621,0.004046300
622,0.003718971
623,0.003873261
624,0.004101386
625,0.004753719
626,0.005590082
627,0.006880593
628,0.008120020
629,0.009506026
630,0.010764119
631,0.011846692
632,0.012386282
633,0.013055969
634,0.013386757
635,0.013403262
636,0.012998609
637,0.012935896
638,0.012584474
639,0.012461838
640,0.011997085
641,0.011604492
642,0.011360760
643,0.011100406
644,0.010912608
645,0.010374472
646,0.010174708
647,0.009871879
648,0.009849474
649,0.009551139
650,0.009751531
651,0.009987241
652,0.010415297
653,0.010613610
654,0.011317907
655,0.012166509
656,0.012972662
657,0.013901237
658,0.014692112
659,0.015770274
660,0.016662367
661,0.017293342
662,0.018122516
663,0.018842220
664,0.019887109
665,0.020700125
666,0.021897437
667,0.023291622
668,0.025224461
669,0.027893487
670,0.030976341
671,0.034727966
672,0.038925159
673,0.043476836
674,0.048740312
675,0.053149290
676,0.058235996
677,0.062836098
678,0.066965572
679,0.070703142
680,0.074284247
681,0.078293565
682,0.083052895
683,0.089454114
684,0.099132815
685,0.114432199
686,0.137631859
687,0.172734204
688,0.222294880
689,0.290685770
690,0.379454047
691,0.488872804
692,0.616113566
693,0.758974197
694,0.911988960
695,1.070957747
696,1.230939823
697,1.391638552
698,1.550864470
699,1.704985358
700,1.856349136
701,2.001562645
702,2.142949735
703,2.279401567
704,2.409487695
705,2.536886634
706,2.658689842
707,2.775308883
708,2.888912344
709,2.999324733
710,3.103744675
711,3.206453883
712,3.304834237
713,3.398822331
714,3.491841746
715,3.579645256
716,3.664783698
717,3.748195981
718,3.827482846
719,3.905606709
720,3.979319788
721,4.052438500
722,4.121797787
723,4.188902849
724,4.255412957
725,4.319254667
726,4.380880272
727,4.439668203
728,4.496138911
729,4.556285200
730,4.610145457
731,4.670231682
732,4.725733679
733,4.782713588
734,4.847600516
735,4.905480174
736,4.959594560
737,5.020236784
738,5.083691104
739,5.139717408
740,5.209341391
741,5.258940440
742,5.307431627
743,5.364928319
744,5.399839798
745,5.457772803
746,5.483536855
747,5.517572420
748,5.554867525
749,5.564069261
750,5.581201679
751,5.609189644
752,5.612397044
753,5.601882395
754,5.585449507
755,5.575184199
756,5.545328734
757,5.518810351
758,5.487287065
759,5.460388927
760,5.437163159
761,5.443383581
762,5.439939255
763,5.479658720
764,5.509227464
765,5.563430926
766,5.652948986
767,5.744144701
768,5.796415370
769,5.873481731
770,5.940754782
771,5.953828940
772,6.037795170
773,6.046281572
774,6.092517056
775,6.101637446
776,6.132717467
777,6.104024169
778,6.112618087
779,6.120882489
780,6.118098205
781,6.118905785
782,6.097520987
783,6.080121291
784,6.023843259
785,5.997232269
786,5.942759294
787,5.917909539
788,5.796950897
789,5.738721150
790,5.629980017
791,5.487806514
792,5.317786558
793,5.116339554
794,4.963189626
795,4.887931743
796,4.884057852
797,4.966052127
798,5.112856814
799,5.244422629
800,5.173277413
801,5.218684074
802,5.261874535
803,5.317302368
804,5.397834713
805,5.445868536
806,5.512983002
807,5.550100873
808,5.599022193
809,5.591711504
810,5.602042225
811,5.563323348
812,5.527953665
813,5.438664456
814,5.327348987
815,5.206909571
816,5.105454822
817,5.018230071
818,4.944849228
819,4.880888546
820,4.827945121
821,4.783049456
822,4.749945552
823,4.735891280
824,4.737249235
825,4.755990107
826,4.791943300
827,4.839471703
828,4.900450747
829,4.969081392
830,5.054294010
831,5.149178138
832,5.271827322
833,5.405164779
834,5.545873196
835,5.672587798
836,5.747493085
837,5.819919158
838,5.849991682
839,5.871089319
840,5.869878224
841,5.846411308
842,5.743464696
843,5.614225253
844,5.477527067
845,5.369974005
846,5.266225911
847,5.190705608
848,5.130209462
849,5.070398561
850,5.023762875
851,4.987504088
852,4.969512568
853,4.988322143
854,5.033504693
855,5.081343162
856,5.154046862
857,5.256600060
858,5.375039313
859,5.503312982
860,5.754461045
861,5.934302498
862,6.059352056
863,6.046367072
864,6.177429196
865,6.222646633
866,6.308517341
867,6.288176365
868,6.232067803
869,6.265823211
870,6.315579073
871,6.209449855
872,6.257566966
873,6.202167590
874,6.159067617
875,6.211813964
876,6.109401082
877,6.088516198
878,6.051370701
879,5.966945730
880,5.973415542
881,5.891506194
882,5.855514551
883,5.799771379
884,5.784643901
885,5.771213694
886,5.732432053
887,5.715456387
888,5.723574080
889,5.712839178
890,5.701722786
891,5.724780062
892,5.742314382
893,5.755498131
894,5.790088782
895,5.806354263
896,5.798158601
897,5.808582078
898,5.859341290
899,5.853466365
900,5.869199067
901,5.871730847
902,5.877077196
903,5.871004786
904,5.881315053
905,5.865236906
906,5.862960944
907,5.874360278
908,5.833001485
909,5.801841998
910,5.820540169
911,5.794344818
912,5.746389370
913,5.706274848
914,5.662266827
915,5.640649073
916,5.604284368
917,5.546557538
918,5.490153236
919,5.427678338
920,5.378807530
921,5.318760011
922,5.249293114
923,5.179530477
924,5.113705259
925,5.047980394
926,4.978175444
927,4.905944060
928,4.831628368
929,4.755564181
930,4.678721164
931,4.603442082
932,4.529905483
933,4.468771890
934,4.424417441
935,4.400310817
936,4.400980223
937,4.427949430
938,4.477836893
939,4.544838237
940,4.622341680
941,4.704356591
942,4.782028733
943,4.859973101
944,4.930096452
945,4.998175066
946,5.050041570
947,5.110616192
948,5.154850192
949,5.190760083
950,5.229856292
951,5.265254409
952,5.289360161
953,5.313993694
954,5.330458041
955,5.349815414
956,5.365756002
957,5.378361367
958,5.385902216
959,5.397890507
960,5.397969376
961,5.403840157
962,5.400711934
963,5.403771935
964,5.402025727
965,5.409002160
966,5.409243033
967,5.405669532
968,5.426215288
969,5.433279918
970,5.443565639
971,5.456042275
972,5.479265778
973,5.502570000
974,5.531353982
975,5.564319805
976,5.607701730
977,5.635699737
978,5.668101220
979,5.709593132
980,5.748722020
981,5.804247010
982,5.814405813
983,5.881369009
984,5.887811359
985,5.915862374
986,5.907697247
987,6.008550803
988,6.037580840
989,6.060724708
990,6.014385501
991,6.104132832
992,6.110908610
993,6.159778647
994,6.210015127
995,6.205414469
996,6.182771830
997,6.218995252
998,6.239118022
999,6.192567155
1000,6.198998616
1001,6.311864918
1002,6.265691874
1003,6.302026298
1004,6.260546934
1005,6.316534807
1006,6.289074181
1007,6.269544245
1008,6.266861170
1009,6.215399351
1010,6.254109191
1011,6.240229612
1012,6.249419718
1013,6.333585440
1014,6.313656650
1015,6.302775536
1016,6.329512294
1017,6.302121767
1018,6.282048336
1019,6.287483145
1020,6.279067903
1021,6.262989690
1022,6.330438051
1023,6.329691259
1024,6.279336461
1025,6.305504499
1026,6.265769075
1027,6.283052632
1028,6.250989449
1029,6.184480842
1030,6.185652761
1031,6.221544621
1032,6.178816153
1033,6.169265830
1034,6.187731596
1035,6.207117687
1036,6.167701962
1037,6.132993446
1038,6.079751166
1039,6.090879300
1040,6.061389206
1041,6.040688841
1042,5.972109526
1043,5.954686411
1044,5.914050253
1045,5.891406519
1046,5.829470610
1047,5.796077765
1048,5.751373406
1049,5.692040272
1050,5.642518884
1051,5.582298900
1052,5.518967862
1053,5.429565111
1054,5.347865728
1055,5.258148117
1056,5.163653600
1057,5.062103689
1058,4.952903147
1059,4.850993062
1060,4.755955863
1061,4.678332978
1062,4.630825692
1063,4.621207619
1064,4.647602691
1065,4.703714433
1066,4.776202129
1067,4.860459852
1068,4.946533775
1069,5.021024236
1070,5.095541950
1071,5.162355973
1072,5.225108348
1073,5.272846017
1074,5.326599018
1075,5.374285681
1076,5.419217743
1077,5.453350412
1078,5.464115913
1079,5.500464392
1080,5.520253838
1081,5.552439346
1082,5.566757066
1083,5.583180914
1084,5.612443205
1085,5.621079692
1086,5.613651272
1087,5.641232836
1088,5.629868265
1089,5.653931762
1090,5.661837649
1091,5.672392621
1092,5.651773116
1093,5.659279039
1094,5.658455509
1095,5.678738735
1096,5.658292906
1097,5.649706978
1098,5.661781577
1099,5.649598691
1100,5.644235567
1101,5.624239716
1102,5.639071495
1103,5.615596255
1104,5.611976901
1105,5.580434727
1106,5.575635680
1107,5.551198443
1108,5.533365147
1109,5.524686748
1110,5.503851928
1111,5.492512237
1112,5.475486660
1113,5.453147091
1114,5.429420117
1115,5.405126226
1116,5.390839795
1117,5.365681098
1118,5.336758330
1119,5.314014948
1120,5.290198168
1121,5.264311834
1122,5.227862015
1123,5.199734476
1124,5.168011335
1125,5.136818433
1126,5.098817737
1127,5.064589910
1128,5.028737319
1129,4.988805626
1130,4.952981768
1131,4.911917811
1132,4.870147430
1133,4.827354690
1134,4.784494116
1135,4.738584004
1136,4.691764078
1137,4.645223141
1138,4.594433403
1139,4.544178412
1140,4.489437358
1141,4.434706856
1142,4.378452049
1143,4.320938007
1144,4.261704794
1145,4.199872253
1146,4.134743373
1147,4.068167763
1148,4.000324434
1149,3.928511929
1150,3.853750367
1151,3.777443904
1152,3.698772517
1153,3.613103217
1154,3.525713874
1155,3.434934863
1156,3.337612255
1157,3.237361756
1158,3.130884865
1159,3.014695856
1160,2.894401313
1161,2.765376722
1162,2.623343724
1163,2.475065965
1164,2.313088871
1165,2.141571844
1166,1.975524426
1167,1.812090771
1168,1.676711153
1169,1.598004411
1170,1.590304459
1171,1.640019768
1172,1.717797249
1173,1.803895866
1174,1.882755243
1175,1.951248590
1176,2.007068110
1177,2.053155638
1178,2.091070289
1179,2.118576580
1180,2.136981129
1181,2.149381190
1182,2.155603007
1183,2.156417533
1184,2.152263564
1185,2.142556874
1186,2.128047003
1187,2.108863720
1188,2.086182553
1189,2.060041441
1190,2.029816917
1191,1.994424282
1192,1.955653056
1193,1.912771430
1194,1.867602367
1195,1.818373471
1196,1.765852347
1197,1.709432640
1198,1.648399604
1199,1.585422386
1200,1.521019081
1201,1.453781947
1202,1.384972029
1203,1.313300234
1204,1.242992994
1205,1.172144080
1206,1.102447881
1207,1.038955512
1208,0.981202373
1209,0.931384430
1210,0.893262797
1211,0.866488489
1212,0.850794153
1213,0.844815751
1214,0.846541211
1215,0.853713482
1216,0.863777702
1217,0.875134434
1218,0.885458099
1219,0.894662796
1220,0.901487536
1221,0.905019554
1222,0.905114583
1223,0.901591074
1224,0.894184537
1225,0.883032790
1226,0.867678358
1227,0.847838120
1228,0.823510266
1229,0.795227353
1230,0.762940726
1231,0.724599483
1232,0.682157843
1233,0.634099200
1234,0.582141141
1235,0.524658149
1236,0.461981474
1237,0.396051546
1238,0.326567343
1239,0.255806938
1240,0.188838989
1241,0.126207944
1242,0.076703658
1243,0.045300812
1244,0.034454301
1245,0.048601918
1246,0.081286775
1247,0.131129681
1248,0.188694988
1249,0.250224503
1250,0.313296561